Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
maricarmenvkas,1159,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Fuerza para esos padres...Despedir a un hijo/a es totalmente antinatura !! D.E.P Xana"""
RicardoBlancoS,1140,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Ya se va perfilando la nueva temporada de #Radio 
En @rne han movido tanto a sus presentadores que lo llevan hasta en el lema de arranque de temporada #RNESeMueveContigo
https://t.co/1z2H7WJfQl"""
deportes_rtve,87533,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Luis Enrique anuncia el fallecimiento de su hija Xana https://t.co/PHUZqZ5jAO"""
aitxol,19,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@shababaty @Albert_Rivera @ArnaldoOtegi @sanchezcastejon 2012:
https://t.co/MyZBqDrAXk

2015:
https://t.co/IZTEzTSOFi

2019:
https://t.co/m7J3bUDBbM

Extra:"""
elena_amorxsanz,62,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@magalinava @myritachikis Las Navas del Marquez"""
finalcutproes,9254,98,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@gzapatamadrid Mucho mejor en este directo. https://t.co/jFt77iryWM"""
hagigat1,83,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""@jgnogales @rtve La verdad - es una tragedia y uno debe preguntar - la plata, los miles de milliones de USD que reciben los Palestinos - a donde van? Donde esta la infraestructura? Las plantas de agua? A donde va la plata? Eres un periodista o propandista?"""
Rubiabilbao1,11,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""https://t.co/1nreTyKpFD

Se va a llenar la farmacia de calvos pidiendo omeoprazol jaja"""
lalibretacolora,10872,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@sslopez_luis @entredos_luces @rtve Apareces citado, creo recordar..."""
AragonMadrid,75,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""El Cipotegato de Tarazona https://t.co/MRPogZ0L2K"""
Estela00337884,291,92,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Que  gustazo escuchar verdades como melones."""
somclan7097,40,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""@rtve @teledeporte que horror!!"""
Felipao_1998,225,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Esto me suena..."""
Sulorei,24,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""@rtve Lo siento mucho"""
Don_andraz,12,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@HectorAtarrabia @rtve Entre si son peras o son manzanas, Maduro es un dictador nefasto y el peor gobernante que ha tenido Venezuela."""
pilarmm12,1262,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Por fin alguien que llama por su nombre a todo"""
manuroadk,178,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@SpartaPepita @rtve @ahorapodemos Esta es la progresia rancia y cutre."""
JCPetre,84,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@paolamave @endiagonalcorta @mediasetcom @rtve Ayer en el informativo de las 9 de TVE1 si dieron la noticia."""
HectorAtarrabia,13646,97,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Don_andraz @rtve No me corresponde juzgar eso. El punto es que fue electo. Boris no."""
rtve,1113306,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Scarlett Johansson y Adam Driver cautivan en Venecia con 'Historia de un matrimonio'. https://t.co/dFBA3YvDib https://t.co/r5UrNiPt8r"""
AsierMF,252,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""Me duelen las manos de tanto aplaudir!!! 

Joder por fin alguien dice esto en el Congreso."""
VikingoCabron,27,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@DiegoJMontero2 @RichardDees El hijo de quien se compraba las bragas a cargo de los presupuestos generales del Estado y por eso la dieron bola de RTVE."""
AngelBergada23,1828,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Hola @rtve @RTVECatalunya, hay alguien?"""
JoseMiguelGilaE,106,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@rtve @La1_tve Pues menos mal que fuimos alli nosotros, y no ellos aqui."""
jesupadial,150,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Podemos mandarlos a maincra alli no hay facturas"""
hgalarra,324,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Como la recibieron mucha emigrados de la posguerra, en varios paises..."""
J_Cummings__,4367,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Cuantas verdades van a tener que oir a partir de ahora en el Parlamento..."""
jaimingway,300,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Esta familia pasa por todo."""
perviver,2229,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Esta es la basura en que han convertido a @rtve"""
968damian,132,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@Carmensastre12 @arturogaseoso @AlegriaBegoa @franllorente Ni la veremos, menudo antro se ha convertido RTVE."""
hsmiguel81,2465,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Inepto y con maldad"""
patriota5ve,21,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#VenezuelaEnDictadura &gt;castroNARCO$TERRORISTA$ GENOCIDAS @jguaido #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/T3ac7WIV6w"""
noelbaltanas,212,94,N,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""Para que reciban asistencia sanitaria gratuita, por favor, pero que barbaridad , pudiendo dejarlos que se mueran mejor..."""
TechnicolorDrea,109,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Fuente: rtve noticias."""
patriota5ve,21,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""HOMBRE DE ca$tro =&gt;santo$ LO HIZO PARA LLEVAR A LOS NARCO$TERRORISTA$ AL PODER Y JUSTIFICAR LA COMPRA DEL premio nobel #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro"""
patriota5ve,21,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""EL eln -&gt;ESTÁ EN VENEZUELA #SOSVenezuela #ResistenciaVzla @NTN24 @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @abc_es @el_pais @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/HIwFHRBtdu"""
24h_tve,1343383,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""Duque dice que no hay una nueva FARC sino narcoterroristas apoyados por Maduro https://t.co/0Q5HCxWPKw"""
Srpacotomas,14380,100,NEU,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Hablando de lo insultante del comentario de la periodista Lara Spencer y celebrando la protesta de los bailarines en Times Square. @apartirdehoyTVE 
#OtraTeleEsPosible"""
patriota5ve,21,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#VenezuelaEnDictadura &gt;castroNARCO$TERRORISTA$ GENOCIDAS @jguaido #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/T3ac7WIV6w"""
patriota5ve,21,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#VenezuelaEnDictadura &gt;castroNARCO$TERRORISTA$ GENOCIDAS @jguaido #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/T3ac7WIV6w"""
