Username,Followers,Score_tag,Tweet
anaaflima,377,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
theDB7,249,NONE,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
UnZenn,112,NONE,"""This bitch deserved dying. Fight me."""
192001e,942,NONE,"""RT @jitka: It would be funny if next Sunday there was just another episode of Game of Thrones"""
fer_halcala,413,NONE,"""RT @ladycerseis: cersei lannister knowing she is the last person who sat on the iron throne
https://t.co/ihePlovPMC"""
andcsy,185,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
amytahourdin27,105,P,"""RT @gmannVOLS: Gendry was so bad at sex that Arya wanted to go places that weren't even on a map"""
itasvamp,153,NONE,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
ishcamnio,22,NONE,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
Redhead_lilmiss,36,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
rachelsklar,60933,NONE,"""What the Game of Thrones Finale Teaches Us About White Saviors https://t.co/T5pR3yox3p via @TheRoot"""
S_v_Sanchez,373,N+,"""RT @antizyrus: This shot of Drogon behind Dany #GOT https://t.co/bAol0dwOZ8"""
Utchdubby,8,NONE,"""RT @3succulent_hams: @mskenziespears He knew Bran brought his own chair."""
mustygyal,1313,NONE,"""RT @springsansa: Stark wolves, Tully scales, Weirwood leaves, Sansa IS the North https://t.co/bz2Pd8DfQC"""
alakeott,111,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
HooperOD,300,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
11JRMario,115,NONE,"""RT @springsansa: Stark wolves, Tully scales, Weirwood leaves, Sansa IS the North https://t.co/bz2Pd8DfQC"""
BaneleMag,796,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
sergiotuitero,63857,NONE,"""RT @coeurdepierr3: @sergiotuitero Dr House
Black Mirror
Game of thrones"""
ActualGarbage19,3,NONE,"""RT @DrNerdLove: ""What's west of Westeros?""
My wife: The Resteros"""
jdiannedotson,2865,NONE,"""@FoldableHuman ""it's my own design"" during Bran's segment is chef's-kiss-perfect"""
slytherdean,4342,NONE,"""RT @springsansa: Stark wolves, Tully scales, Weirwood leaves, Sansa IS the North https://t.co/bz2Pd8DfQC"""
antonio_idk,307,N+,"""RT @BrandoHD: Bran was the logical choice, Drogon burned the Iron Throne and Bran comes with his own seat."""
foredenia,212,NONE,"""daenerys could wash cersei"""
Gwenbillat,472,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
hananobied,843,NONE,"""RT @ladycerseis: cersei lannister knowing she is the last person who sat on the iron throne
https://t.co/ihePlovPMC"""
kawy,216,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
monsterbeers,287,NONE,"""RT @SpexTacular1: Game of thrones Yorkshire style, When Lidl have a sale on loo rolls #GOT https://t.co/fHzb37u8GY"""
worstsdreams,281,NONE,"""RT @Thrones_Memes: One second from every episode of Game of Thrones. https://t.co/SXfXqUacPy"""
Unknow36442448,67,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
lightingstorm19,1,N+,"""@iHarshalWatts I hope drogon in the remake Burns both Sansa and Bron"""
AnaAmon,59,NONE,"""RT @Thrones_Memes: The entire Game of Thrones fandom right now... https://t.co/GiJSwo0kWB"""
ahoylavs,1732,N,"""RT @vegetableartist: me: fuck game of thrones this show is garbage i hate hbo

""sansa stark queen in the north""

me: https://t.co/CZJl3soByh"""
haikalinsomnia,129,NONE,"""RT @handokotjung: Game of Thrones Finale. https://t.co/Knypmvak8t"""
WilliamGEScott,555,NONE,"""First Bran takes the throne, now this? 

Crappy week."""
simxna,19,NONE,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
BenSchoop,42,NONE,"""RT @barstoolsports: The future of Westeros https://t.co/7YmTUoetW7"""
FrioGeo,7,NONE,"""@HBO (diometer clicks)"""
Nmesis1081,16,NONE,"""RT @persrephones: robb stark in heaven looking down at sansa https://t.co/jbYx51ch4c"""
santiBFTD,330,NONE,"""RT @Thrones_Memes: The entire Game of Thrones fandom right now... https://t.co/GiJSwo0kWB"""
kristynella_,539,N,"""RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"""
aca_fernandez,18,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
shia_uniquee,1880,NONE,"""game of thrones ."""
alicedummell,294,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
jeffborsuk,217,N,"""RT @JensenKarp: Can't wait to start watching HBO's Game Of Thrones tonight and then eventually hate it's finale"""
camillevnbls,333,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
under_007,217,NONE,"""@berattcagatay Cennet mahallesi&gt;game of thrones"""
Kragar_LGF,2355,NONE,"""RT @edbott: Eight years, one month, and 26 days later, this tweet enters the Hall of Fame. https://t.co/TJkSVNAREi"""
Moonbootica,3811,NONE,"""Game of Thrones Author George R.R. Martin Has a Lot to Say About His Books After the Big Finale https://t.co/IABKgLvTLy via @io9"""
dianotme,16,NONE,"""RT @tictoc: .@AOC and @SenWarren were kind of ""meh"" on the Game of Thrones finale https://t.co/21os2XkFC4"""
caldsx,319,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
KymaconK,218,N,"""RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"""
TheProfessaw,1896,N+,"""RT @HenRay_DS: How much come be Drogon? https://t.co/b2j44AaOhL"""
lwtherxndale,3294,NONE,"""RT @froynextdoor: ok but daenerys deserved better"""
anacarvalhoo09,586,NONE,"""RT @fairycrust: daenerys when she kissed jon snow and felt something in her chest
https://t.co/9emi70Wu2f"""
tamiperez822,500,NONE,"""RT @hardfeeIng: CERSEI LANNISTER WAS THE LAST PERSON TO SIT ON THE IRON THRONE. SHE WON THE GAME. https://t.co/hNluGhyzju"""
laddyloki,958,NONE,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
dayanara_______,81,NONE,"""My dream is to smoke with sansa stark someday"""
kebkardashian,360,N+,"""RT @ailejandra18: Daenerys being carried away by Drogon https://t.co/uQkjcyEMWf"""
adrianariv_,468,NONE,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
TheNkennia,2974,N+,"""RT @TomiwaTegbe: She named it after Khal Drogo
Do you people watch this show with the sound off? https://t.co/EybkMGCz04"""
marsleeps,264,NONE,"""RT @boolin: #GameOfThrones 

how bran won the iron throne https://t.co/ejxu4KOqBC"""
Willikins,133,NONE,"""RT @MlNOTAURUS: The winner of Game of Thrones receives a one year supply of Anastasia Beverly Hills Cosmetics and a cash prize of $100,000"""
jazstormborn,278,NONE,"""RT @drogonsdaughter: meanwhile Daenerys with all the other Targaryens in the afterlife:

#GameofThrones https://t.co/aCEIQpE4tL"""
G1Misael,6,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
lisabbkr,71,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
Laarnor,241,NONE,"""RT @XSHE_KAE: This man Tyrion beat more court cases than OJ lmaoo"""
Suplex_and_ddo,197,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
BlakCeezar,130,NONE,"""Never Forget: Tyrion would've still rode for Dany if Jamie &amp; Cersei had lived. #GameofThrones"""
jayden_kane,404,NONE,"""RT @barstoolsports: The future of Westeros https://t.co/7YmTUoetW7"""
littleasianchi1,137,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
GabrielaBruzua7,222,NONE,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
NewYorksDream,3193,NONE,"""RT @Queenziah: #Thefinaleepisode :
Daenerys dyes her hair and marries Bran #GameOfThronesFinale https://t.co/EUopoa3Mfa"""
thesaddestpan,16,N+,"""RT @LordsDontWorry: Drogon when he lands with Dany's body
#GameOfThornes https://t.co/VHhUhbflr8"""
sydneyydee,610,NONE,"""RT @barstoolsports: The future of Westeros https://t.co/7YmTUoetW7"""
GabbyDemai,374,NONE,"""RT @persrephones: robb stark in heaven looking down at sansa https://t.co/jbYx51ch4c"""
DanSmith1199,0,NONE,"""Real Sports with Bryant Gumbel: Elena Delle Donne | HBO https://t.co/r5UZQsiJqk via @YouTube what is it with his qrns"""
miller5788,62,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
CenzoSilva,182,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
CheezAmbassador,92,NONE,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
sithmia,37,N+,"""RT @danyskylo: the way drogon was playing hide and seek ... what a cutie https://t.co/ezJnpcOgcV"""
Chris__Meneses,21234,NONE,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
EdoSoros,325,NONE,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
mustygyal,1313,NONE,"""RT @XSHE_KAE: This man Tyrion beat more court cases than OJ lmaoo"""
vinxentvanhoe,12,NONE,"""RT @Thrones_Memes: One second from every episode of Game of Thrones. https://t.co/SXfXqUacPy"""
digitalXlife,29,NONE,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/AK66P7IOlK"""
_harryshands__,4092,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
girlwithadonut,1378,N,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
THE_GONG_MAN,156,N,"""RT @RaheemKassam: Woke Mafia in Panic as Game of Thrones Slays Queen Social Justice Warrior https://t.co/sKPY5FPlGs"""
elainahhhh,303,NONE,"""RT @Beavs: Graphic designer.... https://t.co/IsV89t64te"""
1stInSEO,39439,NONE,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/g2A8V2BUUj https://t.co/x33cvU8l7d"""
OnlineLAD,6771,NONE,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/uzWwG5PQER https://t.co/dP0bKB9KfU https://t.co/CifYnpWprM"""
meekyetmighty,102,NONE,"""RT @idkkkayla: it's true and she should say it https://t.co/4TgQIpXE17"""
blisstargxy,292,NONE,"""RT @wennclarke: Daenerys biggest mistakes. https://t.co/ZkFh9L9J5l"""
gpraimraj,146,NONE,"""RT @ladycerseis: cersei lannister knowing she is the last person who sat on the iron throne
https://t.co/ihePlovPMC"""
DenkyuuMedia,2705,NONE,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/WpEcxVOelF https://t.co/Cj9sLZmMjK"""
cass__fm,61,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
SteveBrookesMBE,20392,NONE,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/dtQZLnJ1NR https://t.co/CgaGkIpZaf"""
xharryzmile,4400,NONE,"""RT @TomScibelli: So Jon Snow being Aegon Targaryen and the rightful heir to the Iron Throne just ends up totally not mattering?"""
kwarktaart_,700,N+,"""RT @tiabbea: Jon highley wanted Drogon to roast his ass. He been begging for death or peace for the last 4 seasons"""
Mac_Sauced,498,N,"""Wow...Game Of Thrones ending really sucked ass...feel like I wasted 8 years of my time.."""
minicuervo_,3,NONE,"""Me when i see a Texan @Otaku_Wubs"""
hurleyer,439,NONE,"""RT @ToiIetBoy: Game of Thrones fans @ Bran https://t.co/GAe8ZNKLCa"""
skinner_as_,1029,NONE,"""This chernobyl hbo miniseries is devastating holy fuck"""
nor_vm,496,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
MeirSimchah,409,NONE,"""Like naming a boy Andre..."""
merterenyigit,580,NONE,"""RT @MlNOTAURUS: The winner of Game of Thrones receives a one year supply of Anastasia Beverly Hills Cosmetics and a cash prize of $100,000"""
JuddsKidding,483,N,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
nick_name34,23,NONE,"""@feyzaltun Dracarys!"""
nick_tacik,570,N,"""RT @JensenKarp: Can't wait to start watching HBO's Game Of Thrones tonight and then eventually hate it's finale"""
xCherrybombx_,706,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
ActualGarbage19,3,N,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
SGrafts,1912,NONE,"""RT @ToiIetBoy: Game of Thrones fans @ Bran https://t.co/GAe8ZNKLCa"""
JesseWrijil,177,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
nathanialpatrik,1111,NONE,"""This is a hard one, will sit this one out ehh"""
mmartilivess,1514,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
iamleopardmoth,795,NONE,"""Spewing out dark phoenix faster than you can new mutants?! Marvel the new old game of thrones??"""
Todd_316,332,NONE,"""Lost was perfect, people are stupid"""
jesseJIBburneka,265,NONE,"""White ppl.."""
doWhile_,52,NONE,"""Arya Lothbrok"""
NinaBelle_,42,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
ElSergiost,3134,NONE,"""RT @YouKnowLydia: Tyrion: Bran knew he would never walk again, so he learned to fly

Meera Reed: https://t.co/f7kqgscBc6"""
hawuni,254,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
SavagePenguin,68,N+,"""@UndeadAzura I liked the ending. Lots of possibilities. New adventures for everyone. I wouldn't be surprised if Drogon has magical plans."""
ophenl,809,NONE,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
beanluver88,49,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
Turbotest,1065,NONE,"""RT @LionelMedia: Who's never seen an episode of Game of Thrones?"""
KaayGee27,248,NONE,"""RT @Tami_fashina: My Queen and I Don't Want it merchant. https://t.co/RmSowNawVf"""
TouchItMedia_,3900,NONE,"""'Game of Thrones' fans AOC and Elizabeth Warren did not like the finale https://t.co/5f1HWhSinu #mashable"""
bbraddyy,1361,N+,"""RT @ailejandra18: Daenerys being carried away by Drogon https://t.co/uQkjcyEMWf"""
antarctix,3099,N,"""RT @CassandraRules: Woke Mafia in Panic as Game of Thrones Slays Queen Social Justice Warrior https://t.co/1PWSX9aeSn"""
thcpacksurvives,128,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
YouSuckWTF,0,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
GroodaMedia,158,NONE,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/2cRgp5Q0MQ https://t.co/3XA2maUkXM"""
miranditta8,84,NONE,"""RT @hardfeeIng: CERSEI LANNISTER WAS THE LAST PERSON TO SIT ON THE IRON THRONE. SHE WON THE GAME. https://t.co/hNluGhyzju"""
abiodundayo,1193,NONE,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
Big_Frenchin83,59,N+,"""RT @BrandoHD: Bran was the logical choice, Drogon burned the Iron Throne and Bran comes with his own seat."""
stevierut,392,NONE,"""So delightfully silly. Canal+ (France's HBO) again. https://t.co/CTvoPiguir https://t.co/7o1LHB7uHj"""
ifylauren,1240,NONE,"""RT @Fufu_Esq: Tyrion was so bad at his job that he quit and got promoted. Just like a white man"""
BenjTheDon,1071,NONE,"""RT @Holyzusss: Bran dans les rues de Kings Landing quand tout sera reconstruit https://t.co/BRvmekUaGs"""
RJRamstad98,631,N+,"""RT @ElColosio: Drogon appearing outta nowhere like
#gameofthrones #jonsnow #drogon https://t.co/NwJMI92BsI"""
ssarahblk,605,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
EmilioMotino,58,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
cbeggplant,155,N+,"""RT @ElColosio: Drogon appearing outta nowhere like
#gameofthrones #jonsnow #drogon https://t.co/NwJMI92BsI"""
Sophie_Oshay,1096,NONE,"""RT @edbott: Eight years, one month, and 26 days later, this tweet enters the Hall of Fame. https://t.co/TJkSVNAREi"""
JkGood456,261,NONE,"""RT @LeeDawsonPT: Still the best thing to come out of 8 seasons of Game Of Thrones https://t.co/tvQekOXSrF"""
lafodirection,3729,NONE,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
xgns96,1414,NONE,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
Gregstagram,57,NONE,"""King Bran The Pants-less, HUZZAH!!! 

#GameOfThrones #Spoiler https://t.co/zbyDwrTEib"""
mt_mags,608,NONE,"""RT @mikeapedia101: Bury her in the ocean with her ancestors who knew that death...was better than bondage https://t.co/wM1of6QHXi"""
Devilduckzz,58,NONE,"""RT @YouKnowLydia: Tyrion: Bran knew he would never walk again, so he learned to fly

Meera Reed: https://t.co/f7kqgscBc6"""
JackPosobiec,474815,NONE,"""I guess Jon Snow thought slay queen was a suggestion instead of just a hashtag. Oops!
https://t.co/D03hQnSZKJ"""
_tfne,179,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
NaveedNRashid,169,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
ElMarkoni00,79,NONE,"""RT @Thrones_Memes: One second from every episode of Game of Thrones. https://t.co/SXfXqUacPy"""
Houston_8_,1077,NONE,"""RT @Thrones_Memes: One second from every episode of Game of Thrones. https://t.co/SXfXqUacPy"""
rileyhein_,203,NONE,"""RT @barstoolsports: The future of Westeros https://t.co/7YmTUoetW7"""
MattGoldberg,9466,NONE,"""RT @edbott: Eight years, one month, and 26 days later, this tweet enters the Hall of Fame. https://t.co/TJkSVNAREi"""
lovingsome01,3425,NONE,"""RT @sapphicaptain: lexa, gamora, natasha and daenerys in heaven https://t.co/c3zpHntkH5"""
Iyminsoo,448,NONE,"""RT @danyskylo: daenerys stans after the finale https://t.co/NRyLNIAyYg"""
RitaRocha151,324,N+,"""RT @antizyrus: This shot of Drogon behind Dany #GOT https://t.co/bAol0dwOZ8"""
winterferns,194,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
honeychambs,2904,N+,"""RT @HenRay_DS: How much come be Drogon? https://t.co/b2j44AaOhL"""
dylwalsh2,341,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
NerdClique,8,NONE,"""RT @DrNerdLove: ""What's west of Westeros?""
My wife: The Resteros"""
kconwyg,404,N+,"""RT @BrandoHD: Bran was the logical choice, Drogon burned the Iron Throne and Bran comes with his own seat."""
katsisone,46,NONE,"""This is why @netflix and chill makes sense sometimes (and not @HBO because of the #GameOfThronesFinale) https://t.co/rEfE9IxJBp"""
zoeyfdeutch,254,NONE,"""RT @itsTrueDany: Jason Momoa watching the Game of Thrones finale WAS ALL OF US!! https://t.co/CQaXePLVhj"""
_Jadior,480,NONE,"""RT @hardfeeIng: CERSEI LANNISTER WAS THE LAST PERSON TO SIT ON THE IRON THRONE. SHE WON THE GAME. https://t.co/hNluGhyzju"""
n0tallondra,1339,NONE,"""i dont even watch game of thrones but bitch emilia clarke here is servin looks goddamn it"""
JackieMD96,134,NONE,"""RT @MlNOTAURUS: The winner of Game of Thrones receives a one year supply of Anastasia Beverly Hills Cosmetics and a cash prize of $100,000"""
badgalvirgy,742,N,"""RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"""
HuffPostUK,205121,NONE,"""Here's everything we know about HBO's #GameOfThrones spin-off series plans https://t.co/UEP29eDGGm"""
lmalagenesis,277,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
keenan_tw99,63,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
ThaNoble,242,N+,"""RT @BrandoHD: Bran was the logical choice, Drogon burned the Iron Throne and Bran comes with his own seat."""
euniqness,1372,NONE,"""RT @urbestenemy: What if Nene was on Game of Thrones? https://t.co/O7ZbBMgdCS"""
1ndvstrial,363,NONE,"""people are complaining about how game of thrones ended badly. have you guys SEEN twin peaks?!"""
cwdubs21,169,NONE,"""RT @JArnoldTAMU85: Generally two schools of thought on the finale of Game of Thrones https://t.co/eGLKydo04p"""
thomasetienne20,280,NONE,"""RT @Holyzusss: Bran dans les rues de Kings Landing quand tout sera reconstruit https://t.co/BRvmekUaGs"""
ChristiaanVrey,220,NONE,"""And now my watch has ended.. @ King's Landing, Westeros https://t.co/EEcRlYcXz3"""
Caroo_me,217,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
charliejsanchez,351,NONE,"""RT @CatStaggs: ""...and I, Brienne of Tarth, am the first women to write  on Game of Thrones since season 3..."" https://t.co/iZevZvdLKy"""
being_tiger_,20555,NONE,"""RT @Thrones_Memes: The entire Game of Thrones fandom right now... https://t.co/GiJSwo0kWB"""
zfatlee,532,NONE,"""RT @vornietom: Very fun Bran theory from my sister @AlexofComics #GamesOfThrones https://t.co/hOcv4vxpj7"""
Anecdoche_Art,98,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
matty_atlantic,178,NONE,"""@De11eDonne @RealSportsHBO @HBO I'm a ride-or-die @minnesotalynx fan, but, your heart and talent are why I'll always cheer for your success!"""
m_mont30,150,N,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
